#title = mean sea level anomaly Pacific Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.77 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1998.8774,-7.46000,,,
1998.9046,-15.66000,,,
1998.9319,-6.36000,,,
1998.9590,-19.26000,,,
1998.9861,-15.16000,,,
1999.0133,-18.96000,,,
1999.0405,-14.16000,,,
1999.0948,-19.56000,,,
1999.1255,-2.26000,,,
1999.1490,-9.16000,,,
1999.1762,-12.86000,,,
1999.2033,-20.46000,,,
1999.2305,4.24000,,,
1999.2576,-0.06000,,,
1999.2847,-8.46000,,,
1999.3390,-15.36000,,,
1999.3662,-21.86000,,,
1999.3932,-18.76000,,,
1999.4206,-8.46000,,,
1999.4477,-9.16000,,,
1999.4748,-6.26000,,,
1999.5019,-5.56000,,,
1999.5291,-9.56000,,,
1999.5566,-3.06000,,,
1999.5834,-3.36000,,,
1999.6106,-1.16000,,,
1999.6376,1.54000,,,
1999.6919,-1.46000,,,
1999.7192,3.24000,,,
1999.7461,3.64000,,,
1999.7734,13.84000,,,
1999.8008,10.34000,,,
1999.8277,0.94000,,,
1999.8549,-6.76000,,,
1999.8821,-8.56000,,,
1999.9091,-5.16000,,,
1999.9635,0.74000,,,
1999.9907,1.34000,,,
2000.0178,-13.26000,,,
2000.0450,-17.66000,,,
2000.0721,-7.46000,,,
2000.0992,-6.96000,,,
2000.1264,-9.26000,,,
2000.1535,-4.96000,,,
2000.1807,-10.06000,,,
2000.2078,-4.16000,,,
2000.2350,3.34000,,,
2000.2893,-7.06000,,,
2000.3165,-14.56000,,,
2000.3436,-10.56000,,,
2000.3707,-15.16000,,,
2000.3978,-17.36000,,,
2000.4250,-10.46000,,,
2000.4521,-3.56000,,,
2000.4793,2.24000,,,
2000.5064,-1.06000,,,
2000.5337,4.44000,,,
2000.5879,-2.16000,,,
2000.6150,6.54000,,,
2000.6422,9.14000,,,
2000.6693,3.84000,,,
2000.6965,8.34000,,,
2000.7234,12.04000,,,
2000.7508,15.84000,,,
2000.7779,18.94000,,,
2000.8051,3.04000,,,
2000.8594,4.94000,,,
2000.8859,5.64000,,,
2000.9145,12.64000,,,
2000.9408,10.14000,,,
2000.9679,3.44000,,,
2000.9951,3.64000,,,
2001.0222,-3.06000,,,
2001.0765,-1.86000,,,
2001.1037,-4.76000,,,
2001.1308,-9.86000,,,
